Municipalities,demo_0,demo_1,demo_2,demo_3,emp_0,mobi_0,mobi_1,mobi_2,mobi_3,mobi_4,mobi_5,mobi_6,mobi_7,mobi_8,Avg. PI. per person by household position | 2018,Cluster
Aa en Hunze,-5.9872232897050806,-0.06562462779092154,-0.23717349913283087,0.6552698285169857,-1.0521641362139214,-3.9239068712136302,-1.120128693331073,-0.166686843101537,-1.9568461665832737,1.003153550213142,-0.5931092032511305,1.4683907702176253,-0.648263870438194,0.8832253938029495,-0.28532527824700293,3
Aalsmeer,2.600664961661967,-2.768002002302103,0.422522758759843,2.0705174345284822,-0.5591689876194895,-0.4050564942032556,-1.4730326764260782,1.4538389079874163,0.2973042940558051,-0.17326753886753288,-1.2495492342553254,0.4888151387874926,0.7056149561419612,2.405812410990835,0.9867945196459708,1
Aalten,-1.6633040973081996,-1.2467290351988363,-0.7091100961660202,0.2710537102599171,-0.8883529663196337,-1.4754058201321247,0.07133161149393885,-2.4413789585116143,0.6030602855970149,0.5268363420475738,-1.1558933547808303,-0.06914974824824334,-0.22447565100451383,-0.2851736406229335,-0.9626877680341713,3
Achtkarspelen,1.7442682651114616,-2.2719568160212384,-1.4238728409519263,-0.5385072413872242,-0.9036360519170336,-1.8058107024213295,0.49809088659774026,-1.1169694645011676,0.33763798040967025,0.5947068303845281,-0.11274157750846314,0.012276160465198251,0.5811109376086705,0.4181250669949152,-1.3591926401047085,3
Alblasserdam,3.4106230741798442,-2.851926669134363,2.424230804642787,-1.337855086618855,-1.1053996992632609,1.8440139825664192,1.0217358365847444,-0.10714915269139944,-0.7961042730688568,-1.425541731896311,1.0801765225409234,0.5569440673138875,-1.2378130970650907,-1.2010681918195194,0.07813752115098901,1
Albrandswaard,2.698470424115935,-3.1025317685005604,-0.5307715906193119,2.858736475378616,-1.1080098870203527,-0.5093989389960273,-0.7611680813513926,1.8041237133872534,-0.5793639643884678,-1.0565282245858427,-1.153212030853885,-1.0775059091718915,0.4338499696547258,0.27079198844607894,1.878930481804681,1
Alkmaar,2.412354747097062,2.6372901540584137,0.23409584061728145,0.6774094521961561,2.2222072041531704,2.6862003678459003,0.5199625265473278,-1.0973206847215433,-0.37150683610307195,-0.09732217565516683,-1.1163207581416486,-0.022873061890210683,0.7623785978011655,0.33473583614084124,-0.28532527824700293,4
Almelo,2.137241691643626,0.5874211340226687,-0.28241025160138206,0.2070234884401113,1.1134310336873956,0.7081099650722729,-0.5120256083072214,-0.4554614166225865,0.14713020732091642,0.9520863969092909,0.5365832076685539,-0.5541365456993484,0.4427554770822968,1.1020822216493824,-1.1609402040694405,1
Almere,8.741441214566148,0.13769009412558275,-1.5195015001506866,3.7839518887673464,5.056999223913366,4.295566550069094,0.02764599291934449,2.695481399832765,-2.9808569298962557,1.5395960693756778,-0.42407388854241784,-0.05361511361449859,-1.643395142897994,-0.149539999974522,-0.20272009656564097,4
Alphen aan den Rijn,2.672087391359376,0.3723426422781868,-0.3703701544464452,0.7097987488780185,1.992569429001376,1.5552600515270492,0.19913764597609138,-0.5872619353014895,-0.09522652565210739,-0.10852741476024458,0.018822890296094075,-0.45113405021261543,0.333919457781774,0.21140165038111375,0.30943202985880347,1
Alphen-Chaam,-2.795566778813158,-1.1728607713452612,-2.7277596285251957,0.12792187582242845,-1.4882654268355147,-2.763031900896355,-0.4307015918208222,0.8374834491504786,-0.8224736866137555,-0.35812204589099295,0.8101530295546275,0.6152150083101012,0.22976072874507922,-1.2197955679623853,0.1277006301598069,3
Altena,2.0149121554543163,-2.4679146235346847,-1.0201741070586599,-0.13677772180143283,-0.0004138832630925441,0.6130901691478825,-0.7760942940736306,0.42997328002532237,4.455877146700301,-0.38267441361587207,-0.10742370203495546,-0.5116558359409054,-1.965173272667855,-1.0429383716720249,0.2103058118411689,1
Ameland,-0.6613951230441362,1.100739716503845,0.3214465662030161,-1.4396080920180272,-1.6265671983881664,-5.834464569529515,12.273521387110106,-2.286422983268052,-1.3301993183474683,-3.4879157218186867,-4.3946772908992076,-2.1522832570565837,0.26503535794792754,0.2803982236339982,-0.18619906022936836,5
Amersfoort,6.460880650630458,0.4598508975442814,0.45941790123226955,2.184225080828936,4.468630226784568,3.969424001152505,0.09929418442790514,-0.8189722591014462,-1.3117159196883603,1.170994969436288,-0.7720197471257808,0.3138889370534304,0.44031490795808004,0.6455074341923855,0.5242055022303441,4
Amstelveen,4.696887118311974,1.730697598547214,4.175236247398622,-0.3756600147119142,1.4843473519624715,2.3096771455348306,0.05868321885283166,1.627931356860795,-2.064212144431994,0.9715573606625572,-0.5407634187251831,0.5896433539097695,-1.2743160962167048,1.1596036607472113,2.0937039541762217,4
Amsterdam,13.487314402813565,15.568700969941963,1.1928387331230859,8.002553058364114,42.09590511523839,9.00637182470068,3.3232259488007285,2.061994319838138,-4.68558928987676,0.5531441195324324,-1.7115546536725166,1.1495263712481494,-1.8514847641670107,-1.0920197919761356,0.2103058118411689,2
Apeldoorn,1.054628797869901,1.605989784048549,0.20503591567063761,0.8190509697478987,4.506500636991716,1.1340960627868044,-0.13004816207096445,-0.38390092861111896,-0.05606088331436916,0.12630647806559767,-0.262332559274178,-0.056190500011092534,0.1663014815582751,0.6468457021537003,-0.15315698755682428,1
Appingedam,-2.9111501862570663,0.9394823637955384,2.09499856034579,-0.592110011362389,-1.4540904202183143,-0.9174677936145732,-0.5629261212251452,-0.47660849920435966,1.4434109843249985,1.118014245427759,1.3348342635661552,0.3013931723705243,-0.07942077132313938,-0.2138786902973077,-1.0783350223880785,3
Arnhem,6.169049674746116,4.969185404800356,-0.8643796935973529,0.06786895033789478,4.6583197544046495,3.588280903659734,0.20584025466149802,1.8540998300093354,-1.398408201042086,0.6571180900052057,-0.16270684910565952,-0.6699244812031881,-0.010069101582309196,0.17896063662759526,-0.81399844100772,4
Assen,1.3734455964895405,0.5335942712114545,0.5660849887621062,0.41168139584679425,0.7237737854690808,1.0410138743568522,-0.4970061545008874,-1.057416948155502,-0.7052018174772718,0.7792695979098867,-0.004671174105188864,-0.035813992507788925,-0.5649538834381927,0.6307053258615575,-0.6983511866538128,1
Asten,-1.115497131093518,-0.38563221031202904,-2.5890751772046063,-0.9695127105517053,-1.1371996111768883,-0.848429683232499,-0.4902091552802721,-1.1459382722445595,0.6105403434908693,-0.22245064928562314,0.2726218938231317,-0.0266222129445661,-0.6466638727860368,-0.5063114394675605,-0.46705667794599953,3
