Municipalities,demography_0,demography_1,demography_2,demography_3,employment,mobility_0,mobility_1,mobility_2,mobility_3,mobility_4,mobility_5,mobility_6,mobility_7,mobility_8,ChronicDisease_0,ChronicDisease_1,Avg. PI. per person by household position
Aa en Hunze,-5.9872232897050806,-0.06562462779092154,-0.2371734991328309,0.6552698285169857,-1.0521641362139214,-3.9239068712136302,-1.120128693331073,-0.16668684310153697,-1.9568461665832737,1.0031535502131421,-0.5931092032511305,1.468390770217625,-0.648263870438194,0.7579048483290951,-0.671248586176742,-0.475548460038167,-0.2853252782470029
Aalsmeer,2.6006649616619666,-2.768002002302103,0.42252275875984296,2.0705174345284822,-0.5591689876194895,-0.4050564942032556,-1.4730326764260782,1.4538389079874163,0.2973042940558051,-0.17326753886753288,-1.2495492342553254,0.4888151387874926,0.7056149561419612,2.06445252056132,-0.7752915831639741,0.7464599967757625,0.9867945196459708
Aalten,-1.6633040973081996,-1.2467290351988365,-0.7091100961660202,0.2710537102599171,-0.8883529663196337,-1.4754058201321247,0.07133161149393885,-2.4413789585116143,0.6030602855970149,0.5268363420475738,-1.1558933547808303,-0.06914974824824334,-0.22447565100451386,-0.24471045144338394,-0.623741625197055,-0.5261307281662968,-0.9626877680341712
Achtkarspelen,1.7442682651114616,-2.2719568160212384,-1.4238728409519263,-0.5385072413872242,-0.9036360519170336,-1.8058107024213292,0.4980908865977402,-1.1169694645011676,0.33763798040967025,0.5947068303845281,-0.11274157750846316,0.012276160465198251,0.5811109376086705,0.3587974459371977,-0.5256056347656367,-0.6020981601847049,-1.3591926401047083
Alblasserdam,3.410623074179844,-2.8519266691343637,2.424230804642787,-1.337855086618855,-1.1053996992632609,1.8440139825664192,1.0217358365847444,-0.10714915269139944,-0.7961042730688568,-1.425541731896311,1.0801765225409234,0.5569440673138875,-1.237813097065091,-1.030649041729164,-0.9109031379794941,-0.2497974667790028,0.07813752115098901
Albrandswaard,2.698470424115935,-3.1025317685005604,-0.5307715906193119,2.8587364753786164,-1.1080098870203527,-0.5093989389960273,-0.7611680813513926,1.8041237133872532,-0.5793639643884678,-1.0565282245858427,-1.153212030853885,-1.0775059091718917,0.4338499696547258,0.2323694069169257,-0.8996351184430191,0.7403382254548886,1.8789304818046808
Alkmaar,2.4123547470970617,2.6372901540584137,0.23409584061728145,0.6774094521961561,2.2222072041531704,2.6862003678459003,0.5199625265473278,-1.097320684721543,-0.371506836103072,-0.09732217565516683,-1.1163207581416486,-0.022873061890210683,0.7623785978011655,0.28724028419096603,1.7772898276923523,0.2975323104075129,-0.2853252782470029
Almelo,2.137241691643626,0.5874211340226687,-0.2824102516013821,0.2070234884401113,1.1134310336873956,0.7081099650722729,-0.5120256083072214,-0.4554614166225865,0.14713020732091642,0.9520863969092908,0.5365832076685539,-0.5541365456993484,0.4427554770822968,0.9457081566109496,1.3881939370535743,-1.144227290906265,-1.1609402040694403
Almere,8.741441214566148,0.13769009412558275,-1.5195015001506866,3.7839518887673456,5.056999223913366,4.295566550069093,0.02764599291934449,2.6954813998327647,-2.980856929896256,1.5395960693756778,-0.42407388854241773,-0.05361511361449859,-1.6433951428979943,-0.1283218211286041,4.319310456286218,0.703441189479555,-0.20272009656564094
Alphen aan den Rijn,2.672087391359376,0.3723426422781868,-0.3703701544464452,0.7097987488780185,1.992569429001376,1.5552600515270492,0.19913764597609135,-0.5872619353014895,-0.0952265256521074,-0.10852741476024458,0.018822890296094075,-0.4511340502126154,0.333919457781774,0.18140594336711804,2.1328167339724358,0.5080650491375859,0.3094320298588035
Alphen-Chaam,-2.7955667788131584,-1.1728607713452612,-2.727759628525196,0.12792187582242845,-1.4882654268355149,-2.763031900896355,-0.4307015918208222,0.8374834491504786,-0.8224736866137555,-0.3581220458909929,0.8101530295546275,0.6152150083101012,0.2297607287450792,-1.0467191969519964,-1.3579264381431513,0.21570201831093289,0.1277006301598069
